op,'Estilo','Etiqueta Color','Talla',Suma de 'Q Req',Suma de 'Q Prog',Suma de 'Q Mer',Segundas,OP ESTILO COLOR ,Defecto,CALIDAD,Marca,MINUTAJE COSTURA,TEMPORADA,PRENDA,GRUPO TEJIDO,DISEÑO,DENSIDAD ALAV,DENSIDAD DLAV,'Est Pza','Est Bloque','Est Pda',BORDADO,LAVADO TPA,RUTA,'Descripción Lavados Paños Bloq Pzas','Descripción Lavado Teñido en Prenda','Tipo de Prenda Planeamiento','Tipo de Pedido OComercial',Se trabaja en?,LT Manufac,LT Total,TIPO DE COSTURA,Hilo
284460,TM1MZ337,SLEET / BL,2XL,144,154,7,2,284460TM1MZ337SLEET / BL,JALADURAS,TERCERA,TRAVIS MATHEW,23.85,SPRING 2025,BOX,GAMUZA,DOBLE CARA,220,230,0,0,0,0,0,CORTE / COSTURA / CLASIFICADO / ACABADO / ACABADO,,,Casaca/ Capucha con cierre o b,PRODUCCIÓN,Servicio,57,155,Cost. Recta,40/1
284460,TM1MZ337,SLEET / BL,3XL,48,52,1,1,284460TM1MZ337SLEET / BL,JALADURAS,TERCERA,TRAVIS MATHEW,23.85,SPRING 2025,BOX,GAMUZA,DOBLE CARA,220,230,0,0,0,0,0,CORTE / COSTURA / CLASIFICADO / ACABADO / ACABADO,,,Casaca/ Capucha con cierre o b,PRODUCCIÓN,Servicio,57,155,Cost. Recta,40/1
284460,TM1MZ337,SLEET / BL,L,480,497,27,4,284460TM1MZ337SLEET / BL,HUECOS DE COSTURA,TERCERA,TRAVIS MATHEW,23.85,SPRING 2025,BOX,GAMUZA,DOBLE CARA,220,230,0,0,0,0,0,CORTE / COSTURA / CLASIFICADO / ACABADO / ACABADO,,,Casaca/ Capucha con cierre o b,PRODUCCIÓN,Servicio,57,155,Cost. Recta,40/1
284460,TM1MZ337,SLEET / BL,M,288,300,10,1,284460TM1MZ337SLEET / BL,,,TRAVIS MATHEW,23.85,SPRING 2025,BOX,GAMUZA,DOBLE CARA,220,230,0,0,0,0,0,CORTE / COSTURA / CLASIFICADO / ACABADO / ACABADO,,,Casaca/ Capucha con cierre o b,PRODUCCIÓN,Servicio,57,155,Cost. Recta,40/1
284460,TM1MZ337,SLEET / BL,S,96,103,1,1,284460TM1MZ337SLEET / BL,JALADURAS,,TRAVIS MATHEW,23.85,SPRING 2025,BOX,GAMUZA,DOBLE CARA,220,230,0,0,0,0,0,CORTE / COSTURA / CLASIFICADO / ACABADO / ACABADO,,,Casaca/ Capucha con cierre o b,PRODUCCIÓN,Servicio,57,155,Cost. Recta,40/1
284460,TM1MZ337,SLEET / BL,XL,360,375,24,7,284460TM1MZ337SLEET / BL,HILO IRREGULAR,TERCERA,TRAVIS MATHEW,23.85,SPRING 2025,BOX,GAMUZA,DOBLE CARA,220,230,0,0,0,0,0,CORTE / COSTURA / CLASIFICADO / ACABADO / ACABADO,,,Casaca/ Capucha con cierre o b,PRODUCCIÓN,Servicio,57,155,Cost. Recta,40/1
285071,1MY351,MOOD INDIG,2XL,92,98,0,3,2850711MY351MOOD INDIG,HUECOS DE COSTURA,TERCERA,TRAVIS MATHEW,36.11,SPRING 2025,T-SHIRT,GAMUZA,DOBLE CARA,220,230,S,0,0,0,0,CORTE / CORTE / BORDADO 1 / ESTAM.1 / COSTURA / CLASIFICADO / ACABADO / ACABADO,,,Casaca/ Capucha con cierre o b,PRODUCCIÓN,Planta,43,81,Cost. Recta,40/1
285071,1MY351,MOOD INDIG,3XL,9,12,,5,2850711MY351MOOD INDIG,HUECOS DE COSTURA,TERCERA,TRAVIS MATHEW,36.11,SPRING 2025,T-SHIRT,GAMUZA,DOBLE CARA,220,230,S,0,0,0,0,CORTE / CORTE / BORDADO 1 / ESTAM.1 / COSTURA / CLASIFICADO / ACABADO / ACABADO,,,Casaca/ Capucha con cierre o b,PRODUCCIÓN,Planta,43,81,Cost. Recta,40/1
285071,1MY351,MOOD INDIG,L,201,210,0,17,2850711MY351MOOD INDIG,HUECOS DE COSTURA,TERCERA,TRAVIS MATHEW,36.11,SPRING 2025,T-SHIRT,GAMUZA,DOBLE CARA,220,230,S,0,0,0,0,CORTE / CORTE / BORDADO 1 / ESTAM.1 / COSTURA / CLASIFICADO / ACABADO / ACABADO,,,Casaca/ Capucha con cierre o b,PRODUCCIÓN,Planta,43,81,Cost. Recta,40/1
285071,1MY351,MOOD INDIG,M,118,126,0,24,2850711MY351MOOD INDIG,JALADURAS,TERCERA,TRAVIS MATHEW,36.11,SPRING 2025,T-SHIRT,GAMUZA,DOBLE CARA,220,230,S,0,0,0,0,CORTE / CORTE / BORDADO 1 / ESTAM.1 / COSTURA / CLASIFICADO / ACABADO / ACABADO,,,Casaca/ Capucha con cierre o b,PRODUCCIÓN,Planta,43,81,Cost. Recta,40/1
