Record Id;Nombre de Oportunidad;Sublínea;Familia de producto; VALORUSD 
4592454000219570000;1ER DESPACHO SOP Y SMG;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 16,805,880 
4592454000219570000;1ER DESPACHO SOP Y SMG;SUR MEDIO AGRO;SULFATO DE MAGNESIO HEPTA; 6,600,000 
4592454000184390000;FOSFATO DICALCICO;Feed;FOSFATO DICALCICO 18%; 6,100,000 
4592454000236950000;COTIZACION DICIEMBRE2024;NORTE MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 5,676,000 
4592454000422220000;LIC DIC HLM;SUR MEDIO AGRO;FOSFATO MONOAMONICO SOLUBLE; 4,125,000 
4592454000221840000;COTIZACION SULFATO DE POTASIO;NORTE MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 672,000 
4592454000275740000;PROYECTO - LECITINA DE SOYA;Food;LECITINA DE SOYA; 625,000 
4592454000422220000;LIC DIC HLM;SUR MEDIO AGRO;NITRATO DE CALCIO GRANULAR; 544,000 
4592454000422220000;LIC DIC HLM;SUR MEDIO AGRO;SULFATO DE MAGNESIO HEPTA; 500,000 
4592454000236950000;COTIZACION DICIEMBRE2024;NORTE MEDIO AGRO;SULFATO DE MAGNESIO HEPTA; 432,000 
4592454000299450000;COT OCTUBRE PEDREGAL;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 413,100 
4592454000215210000;SODA CAUATICA - SET24 - 500TM;Químicos;SODA CAUSTICA ESCAMAS; 400,000 
4592454000216570000;LICITACION FERTILIZANTES OCT - DIC 2024;NORTE MEDIO AGRO;NITRATO DE CALCIO SOLUBLE; 245,700 
4592454000203150000;LICITACIÓN AMINOACIDOS JUL - AGO - SET 2024;Feed;LISINA SULFATO; 244,350 
4592454000203150000;LICITACIÓN AMINOACIDOS JUL - AGO - SET 2024;Feed;L TRIPTOFANO; 237,360 
4592454000256840000;Licitación 2025 2°trim - SAFRESCO (Chincha);SUR CHICO AGRO;SULFATO DE POTASIO SOLUBLE; 230,100 
4592454000433040000;COTIZACION FERTILIZANTES 2026;NORTE MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 228,165 
